ortho	Lexique3__phon	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemfilms2	Lexique3__freqfilms2	Lexique3__islem	Lexique3__nblettres	Lexique3__puorth	Lexique3__puphon	Lexique3__nbsyll	Lexique3__cgramortho
vivre	vivR	vivre	VER	510.19	218.52	1	5	5	4	1	NOM,VER
perdu	pERdy	perdre	VER	546.08	217.23	0	5	5	5	2	VER,ADJ,NOM
cause	koz	cause	NOM	218.6	213.51	1	5	5	3	1	NOM,VER
tiens	tj5	tiens	ONO	212.99	212.99	1	5	5	3	1	VER,NOM,ADJ:pos,ONO,PRO:pos
mains	m5	main	NOM	499.6	212.97	0	5	0	2	1	NOM
façon	fas§	façon	NOM	230.48	212.6	1	5	5	4	2	NOM
envie	@vi	envie	NOM	213.96	210.62	1	5	5	3	2	NOM,VER
ainsi	5si	ainsi	ADV	207.68	207.68	1	5	5	3	2	ADV
merde	mERd	merde	NOM	213.05	206.68	1	5	5	4	1	NOM,ONO,VER
salut	saly	salut	ONO	203.1	203.1	1	5	5	4	2	NOM,ONO
reste	REst	reste	NOM	214.54	203.1	1	5	5	4	1	NOM,VER
école	ekOl	école	NOM	206.88	197.04	1	5	5	4	2	NOM
après	apRE	après	ADV	193.68	193.68	1	5	5	4	2	ADV,PRE
peine	pEn	peine	NOM	199.75	193.42	1	5	5	3	1	NOM,VER
voyez	vwaje	voir	VER	4119.43	191.63	0	5	0	5	2	VER
point	pw5	point	NOM	225.32	186.7	1	5	5	3	1	VER,ADV,NOM
étais	etE	être	AUX	8074.24	184.97	0	5	0	3	2	NOM,AUX,VER
vieux	vj2	vieux	ADJ	282.2	180.08	1	5	5	3	1	ADJ,NOM
prend	pR@	prendre	VER	1913.83	179.02	0	5	0	0	1	VER
aucun	ok1	aucun	ADJ:ind	175.78	175.78	1	5	5	3	2	ADJ:ind,PRO:ind
droit	dRwa	droit	NOM	207.62	175.6	1	5	5	4	1	ADJ,ADV,NOM
aimes	Em	aimer	VER	1655.07	170.38	0	5	0	2	1	VER
sinon	sin§	sinon	CON	164.85	164.85	1	5	5	4	2	ADV,CON
faute	fot	faute	NOM	169.26	163.19	1	5	5	3	1	NOM,VER
parti	paRti	partir	VER	1111.97	162.93	0	5	5	5	2	ADJ,NOM,VER
chien	Sj5	chien	NOM	223.53	158.77	1	5	5	3	1	NOM
soeur	s9R	soeur	NOM	184.99	155.22	1	5	5	3	1	NOM
super	sypER	super	ADJ	154.83	154.83	1	5	5	5	2	ADJ,NOM
verre	vER	verre	NOM	176.57	154.13	1	5	5	3	1	NOM
route	Rut	route	NOM	166.72	152.83	1	5	5	3	1	NOM
pensé	p@se	penser	VER	1485.47	151.67	0	5	0	4	2	VER
voulu	vuly	vouloir	VER	5249.3	151.04	0	5	5	4	2	VER,ADJ
devez	d°ve	devoir	VER	3232.57	150.16	0	5	0	0	2	VER
payer	peje	payer	VER	416.68	149.1	1	5	5	3	2	VER
ferai	f°RE	faire	VER	8813.48	146.11	0	5	0	0	2	VER
cours	kuR	cours	NOM	143.05	143.05	1	5	5	3	1	VER,NOM
boire	bwaR	boire	VER	339.05	142.15	1	5	4	4	1	NOM,VER
ouvre	uvR	ouvrir	VER	413.32	141.45	0	5	0	0	1	VER
celle	sEl	celle	PRO:dem	141.28	141.28	1	5	5	3	1	NOM,PRO:dem
serai	s°RE	être	VER	32236.5	140.69	0	5	0	0	2	AUX,VER
drôle	dRol	drôle	ADJ	144.48	138.46	1	5	5	4	1	ADJ,NOM
grave	gRav	grave	ADJ	142.48	134.19	1	5	5	4	1	ADJ,NOM,VER
ordre	ORdR	ordre	NOM	217.25	132.5	1	5	4	4	1	NOM
petit	p°ti	petit	NOM	221.75	131.7	1	5	5	4	2	ADJ,ADV,NOM
année	ane	année	NOM	316.25	129.64	1	5	5	3	2	NOM
écrit	ekRi	écrire	VER	305.92	128.35	0	5	5	4	2	VER,ADJ,NOM
vieux	vj2	vieux	NOM	145.73	124.54	1	5	5	3	1	ADJ,NOM
oncle	§kl	oncle	NOM	126.71	124.11	1	5	4	3	1	NOM
photo	foto	photo	NOM	209.1	122.47	1	5	5	4	2	NOM
adore	adOR	adorer	VER	193.67	121.69	0	5	0	0	2	VER
toute	tut	toute	ADJ:ind	118.32	118.32	1	5	5	3	1	ADJ,ADJ:ind,PRO:ind
étiez	etje	être	VER	32236.5	114.69	0	5	0	4	2	AUX,VER
tirer	tiRe	tirer	VER	415.14	113.71	1	5	5	4	2	VER
choix	Swa	choix	NOM	113.35	113.35	1	5	5	3	1	NOM
livre	livR	livre	NOM	198.11	112.43	1	5	5	4	1	NOM,VER
morte	mORt	mourir	VER	916.4	112.36	0	5	0	0	1	ADJ,NOM,VER
table	tabl	table	NOM	118.37	111.44	1	5	5	4	1	NOM,VER
salle	sal	salle	NOM	116.91	111.1	1	5	4	3	1	NOM
pièce	pjEs	pièce	NOM	151.1	110.66	1	5	4	4	1	NOM
tiens	tj5	tenir	VER	504.69	110.63	0	5	5	3	1	VER,NOM,ADJ:pos,ONO,PRO:pos
libre	libR	libre	ADJ	134.42	110.36	1	5	5	4	1	ADJ
début	deby	début	NOM	114.31	109.88	1	5	5	4	2	NOM
monte	m§t	monter	VER	277.32	109.76	0	5	5	0	1	VER
pieds	pje	pied	NOM	214.08	108.57	0	5	0	3	1	NOM
force	fORs	force	NOM	151.96	108.29	1	5	5	4	1	ADJ:ind,NOM,VER
sujet	syZE	sujet	NOM	120.42	107.92	1	5	5	4	2	ADJ,NOM
hôtel	otEl	hôtel	NOM	114.67	107.73	1	5	5	4	2	NOM
trucs	tRyk	truc	NOM	381.34	106.41	0	5	0	4	1	NOM
armes	aRm	arme	NOM	220.22	105.82	0	5	0	3	1	NOM,VER
avion	avj§	avion	NOM	128.35	105.54	1	5	5	4	2	NOM
calme	kalm	calme	NOM	105.2	105.08	1	5	5	4	1	ADJ,NOM,VER
plein	pl5	plein	ADJ	208.75	104.57	1	5	5	3	1	ADJ,ADV,NOM,PRE
mange	m@Z	manger	VER	467.82	103.81	0	5	0	0	1	VER
honte	§t	honte	NOM	103.4	103.26	1	5	5	2	1	NOM
soyez	swaje	être	VER	32236.5	102.17	0	5	0	0	2	AUX,VER
passé	pase	passé	ADJ	115.89	101.77	1	5	5	4	2	VER,ADJ,ADV,NOM
jolie	Zoli	joli	ADJ	226.45	101.54	0	5	5	4	2	ADJ
tenez	t°ne	tenir	VER	504.69	99.49	0	5	0	0	2	VER
effet	efE	effet	NOM	116.75	99.17	1	5	5	3	2	NOM
froid	fRwa	froid	ADJ	127.22	98.43	1	5	5	4	1	ADJ,NOM
sorte	sORt	sorte	NOM	114.73	98.33	1	5	5	4	1	NOM,VER
doute	dut	doute	NOM	108.18	97.51	1	5	5	3	1	NOM,VER
scène	sEn	scène	NOM	107.96	96.66	1	5	5	3	1	NOM
finir	finiR	finir	VER	557.61	96.48	1	5	5	5	2	VER
carte	kaRt	carte	NOM	144.96	96.11	1	5	5	4	1	NOM
calme	kalm	calmer	VER	168.54	94.16	0	5	5	4	1	ADJ,NOM,VER
armée	aRme	armée	NOM	101.07	93.97	1	5	5	4	2	VER,ADJ,NOM
fasse	fas	faire	VER	8813.48	93.83	0	5	0	3	1	VER
garde	gaRd	garder	VER	338.4	93.72	0	5	5	4	1	NOM,VER
venue	v°ny	venir	VER	2763.82	93.14	0	5	5	4	2	VER,ADJ,NOM
porte	pORt	porter	VER	319.98	93.05	0	5	5	4	1	NOM,VER
agent	aZ@	agent	NOM	117.9	92.42	1	5	5	3	2	NOM
aimer	eme	aimer	VER	1655.07	90.44	1	5	5	3	2	VER
gagné	gaNe	gagner	VER	294.44	89.92	0	5	5	4	2	VER,ADJ
aille	aj	aller	VER	9992.77	89.81	0	5	0	2	1	VER
plein	pl5	plein	PRE	89.11	89.11	1	5	5	3	1	ADJ,ADV,NOM,PRE
santé	s@te	santé	NOM	88.69	88.58	1	5	5	4	2	NOM
clair	klER	clair	ADJ	122.69	88.54	1	5	5	4	1	ADJ,NOM
auras	oRa	avoir	VER	13572.4	87.32	0	5	0	3	2	NOM,AUX,VER
enfer	@fER	enfer	NOM	88.86	86.02	1	5	5	4	2	NOM
flics	flik	flic	NOM	153.5	85.97	0	5	0	4	1	NOM
grâce	gRas	grâce	PRE	85.61	85.61	1	5	3	4	1	NOM,ONO,PRE
bouge	buZ	bouger	VER	211.9	85.45	0	5	5	3	1	NOM,VER
dîner	dine	dîner	NOM	88.45	84.73	1	5	5	4	2	ADJ,NOM,VER
folle	fOl	fou	ADJ	321.31	84.38	0	5	0	3	1	ADJ,NOM
rends	R@	rendre	VER	508.81	84.13	0	5	0	2	1	VER
entre	@tR	entrer	VER	450.11	84.08	0	5	5	3	1	PRE,VER
vraie	vRE	vrai	ADJ	807.03	83.64	0	5	0	3	1	ADJ
tenir	t°niR	tenir	VER	504.69	82.83	1	5	4	4	2	VER
forme	fORm	forme	NOM	94.19	82.61	1	5	5	4	1	NOM,VER
dirai	diRE	dire	VER	5946.15	82.39	0	5	0	0	2	VER
coups	ku	coup	NOM	471.82	82.33	0	5	0	2	1	NOM
crime	kRim	crime	NOM	104.07	81.77	1	5	5	4	1	NOM
seras	s°Ra	être	VER	32236.5	81.58	0	5	0	0	2	AUX,VER
selon	s°l§	selon	PRE	81.4	81.4	1	5	4	4	2	PRE
sorti	sORti	sortir	VER	884.26	81.08	0	5	0	5	2	VER
appel	apEl	appel	NOM	100.18	80.88	1	5	5	4	2	NOM
rouge	RuZ	rouge	ADJ	102.93	79.7	1	5	5	3	1	ADJ,NOM
ferme	fERm	fermer	VER	238.65	79.68	0	5	5	4	1	ADJ,ADV,NOM,VER
bruit	bR8i	bruit	NOM	94.13	78.94	1	5	5	4	1	VER,NOM
aurai	oRE	avoir	VER	13572.4	78.85	0	5	5	3	2	AUX,VER
verra	vERa	voir	VER	4119.43	78.66	0	5	0	4	2	VER
tient	tj5	tenir	VER	504.69	78.32	0	5	0	3	1	VER
morts	mOR	mort	NOM	460.05	78.09	0	5	0	3	1	ADJ,NOM,VER
sympa	s5pa	sympa	ADJ	83.39	77.46	1	5	5	4	2	ADJ
balle	bal	balle	NOM	122.07	77.32	1	5	5	3	1	NOM
garde	gaRd	garde	NOM	104.47	76.76	1	5	5	4	1	NOM,VER
exact	Egzakt	exact	ADJ	86.8	76.66	1	5	5	6	2	ADJ
pitié	pitje	pitié	NOM	76.38	76.38	1	5	4	4	2	NOM
lâche	laS	lâcher	VER	171.08	75.31	0	5	5	3	1	ADJ,NOM,VER
boîte	bwat	boîte	NOM	88.81	74.58	1	5	5	4	1	NOM
poser	poze	poser	VER	217.2	73.73	1	5	5	4	2	VER
ferme	fERm	ferme	NOM	76.86	73.53	1	5	5	4	1	ADJ,ADV,NOM,VER
poste	pOst	poste	NOM	82.87	72.64	1	5	5	4	1	NOM,VER
aucun	ok1	aucun	PRO:ind	71.6	71.6	1	5	5	3	2	ADJ:ind,PRO:ind
super	sypER	super	NOM	73.26	71.48	1	5	5	5	2	ADJ,NOM
radio	Radjo	radio	NOM	78.23	71.31	1	5	5	5	2	NOM
tante	t@t	tante	NOM	76.62	70.69	1	5	5	3	1	NOM
connu	kony	connaître	VER	961.03	70.33	0	5	5	4	2	VER,ADJ
ligne	liN	ligne	NOM	89.83	69.42	1	5	5	3	1	NOM
parmi	paRmi	parmi	PRE	69.17	69.17	1	5	5	5	2	PRE
bande	b@d	bande	NOM	78.36	69.1	1	5	5	3	1	NOM,VER
chéri	SeRi	chéri	NOM	171.98	69.08	1	5	5	4	2	ADJ,NOM,VER
liste	list	liste	NOM	71.56	69.07	1	5	5	4	1	NOM
grand	gR@	grand	NOM	92.25	68.73	1	5	5	3	1	ADJ,ADV,NOM
croit	kRwa	croire	VER	1711.99	68.72	0	5	0	4	1	VER
bière	bjER	bière	NOM	81.67	68.55	1	5	3	4	1	NOM
voler	vole	voler	VER	238.82	67.88	1	5	5	4	2	VER
signe	siN	signe	NOM	82.73	67.74	1	5	5	3	1	NOM,VER
prêts	pRE	prêt	ADJ	314.64	67.39	0	5	0	3	1	ADJ,NOM
tombe	t§b	tomber	VER	407.82	66.39	0	5	5	3	1	NOM,VER
prête	pREt	prêt	ADJ	314.64	66.25	0	5	0	0	1	ADJ,VER
héros	eRo	héros	NOM	76.58	66.17	1	5	5	3	2	NOM
aidez	Ede	aider	VER	688.71	64.36	0	5	0	0	2	VER
passé	pase	passé	NOM	64.32	63.39	1	5	5	4	2	VER,ADJ,ADV,NOM
seuls	s9l	seul	ADJ	891.45	63.29	0	5	0	3	1	ADJ,NOM
gosse	gOs	gosse	NOM	109.96	62.92	1	5	5	3	1	NOM
tombé	t§be	tomber	VER	407.82	62.89	0	5	5	4	2	VER,ADJ
aimez	Eme	aimer	VER	1655.07	62.25	0	5	0	0	2	VER
sauvé	sove	sauver	VER	246.54	61.62	0	5	0	4	2	VER
fiche	fiS	ficher	VER	97.84	60.95	0	5	5	3	1	NOM,VER
dents	d@	dent	NOM	74.2	60.94	0	5	0	2	1	NOM
aurez	oRe	avoir	VER	13572.4	60.72	0	5	0	3	2	AUX,VER
mangé	m@Ze	manger	VER	467.82	60.43	0	5	0	4	2	VER
amène	amEn	amener	VER	190.32	59.8	0	5	4	4	2	VER,ADJ
idées	ide	idée	NOM	389.77	59.38	0	5	0	3	2	NOM
rêves	REv	rêve	NOM	158.75	59.35	0	5	0	3	1	NOM,VER
jeter	Z°te	jeter	VER	192.18	59.28	1	5	5	4	2	NOM,VER
calme	kalm	calme	ADJ	66.57	58.78	1	5	5	4	1	ADJ,NOM,VER
match	matS	match	NOM	63.48	58.26	1	5	5	4	1	NOM
glace	glas	glace	NOM	66.82	58.09	1	5	5	4	1	NOM,VER
films	film	film	NOM	252.66	57.56	0	5	0	4	1	NOM
marre	maR	marre	ADV	57.48	57.48	1	5	5	3	1	ADV,VER
beaux	bo	beau	ADJ	671.86	57.2	0	5	0	2	1	ADJ
quels	kEl	quels	ADJ:int	56.44	56.44	1	5	5	3	1	ADJ:int
faîte	fEt	faîte	NOM	56.42	56.42	1	5	5	3	1	NOM
reine	REn	reine	NOM	59.05	56.26	1	5	5	3	1	NOM
gamin	gam5	gamin	NOM	92.22	55.94	1	5	5	4	2	ADJ,NOM
idiot	idjo	idiot	NOM	90.57	55.73	1	5	5	4	2	ADJ,NOM
prévu	pRevy	prévoir	VER	78.22	55.54	0	5	0	0	2	VER
mille	mil	mille	ADJ:num	55.43	55.43	1	5	5	3	1	ADJ:num,NOM
riche	RiS	riche	ADJ	73.85	54.28	1	5	5	3	1	ADJ,NOM
types	tip	type	NOM	334.85	54.23	0	5	0	3	1	NOM
mieux	mj2	mieux	NOM	54.12	54.12	1	5	5	3	1	ADV,NOM
sache	saS	savoir	VER	4516.71	54.06	0	5	0	0	1	VER
blanc	bl@	blanc	ADJ	118.74	53.93	1	5	5	3	1	ADJ,NOM
gagne	gaN	gagner	VER	294.44	53.39	0	5	0	0	1	VER
venus	v°ny	venir	VER	2763.82	53.34	0	5	0	4	2	VER,ADJ,NOM
chier	Sje	chier	VER	67.53	53.3	1	5	5	3	1	VER
moyen	mwaj5	moyen	NOM	83.47	53.27	1	5	5	5	2	ADJ,NOM
bonne	bOn	bonne	NOM	59.44	53.18	1	5	5	3	1	ADJ,NOM
allée	ale	aller	VER	9992.77	52.93	0	5	5	3	2	VER,NOM
parie	paRi	parier	VER	81.96	52.59	0	5	0	4	2	VER
tueur	t89R	tueur	NOM	64.06	52.42	1	5	5	3	1	NOM
serez	s°Re	être	VER	32236.5	52.41	0	5	0	0	2	AUX,VER
assis	asi	asseoir	VER	322.71	52.34	0	5	5	3	2	VER,ADJ
offre	OfR	offrir	VER	177.8	51.81	0	5	5	3	1	NOM,VER
dîner	dine	dîner	VER	79.3	51.78	1	5	5	4	2	ADJ,NOM,VER
image	imaZ	image	NOM	82.13	51.34	1	5	5	4	2	NOM,VER
dieux	dj2	dieu	NOM	903.41	50.49	0	5	0	3	1	NOM
aviez	avje	avoir	AUX	18559.22	50.3	0	5	0	0	2	AUX,VER
idiot	idjo	idiot	ADJ	74.06	50.27	1	5	5	4	2	ADJ,NOM
morts	mOR	mourir	VER	916.4	50.22	0	5	0	3	1	ADJ,NOM,VER
chaud	So	chaud	ADJ	84.16	50.2	1	5	5	2	1	ADJ,ADV,NOM
arbre	aRbR	arbre	NOM	81.69	49.29	1	5	5	4	1	NOM
folie	foli	folie	NOM	52.39	49.01	1	5	5	4	2	NOM
bravo	bRavo	bravo	ONO	48.98	48.98	1	5	5	5	2	NOM,ONO
telle	tEl	telle	ADJ:ind	48.77	48.77	1	5	5	3	1	ADJ:ind,PRO:ind
bombe	b§b	bombe	NOM	64.39	48.7	1	5	5	3	1	NOM,VER
repas	R°pa	repas	NOM	48.53	48.53	1	5	5	4	2	NOM
rendu	R@dy	rendre	VER	508.81	48.31	0	5	5	4	2	VER,ADJ,NOM
perds	pER	perdre	VER	546.08	48.13	0	5	0	3	1	VER
menti	m@ti	mentir	VER	185.16	47.32	0	5	0	0	2	VER
odeur	od9R	odeur	NOM	49.57	47.19	1	5	4	3	2	NOM
danse	d@s	danse	NOM	51.23	46.92	1	5	5	3	1	NOM,VER
arrêt	aRE	arrêt	NOM	50.88	46.8	1	5	5	3	2	NOM
jambe	Z@b	jambe	NOM	113.82	46.31	1	5	5	3	1	NOM
tirez	tiRe	tirer	VER	415.14	45.9	0	5	0	4	2	VER
plage	plaZ	plage	NOM	48.19	44.99	1	5	5	4	1	NOM
passe	pas	passe	NOM	47.58	44.87	1	5	5	3	1	NOM,VER
cache	kaS	cacher	VER	204.13	44.82	0	5	5	3	1	NOM,VER
douce	dus	doux	ADJ	89.14	44.7	0	5	5	3	1	NOM,ADJ
aviez	avje	avoir	VER	13572.4	44.64	0	5	0	0	2	AUX,VER
meurt	m9R	mourir	VER	916.4	44.29	0	5	0	0	1	VER
meurs	m9R	mourir	VER	916.4	43.9	0	5	0	0	1	VER
crise	kRiz	crise	NOM	50.15	43.51	1	5	5	4	1	NOM
usine	yzin	usine	NOM	51.59	43.51	1	5	5	4	2	NOM,VER
jette	ZEt	jeter	VER	192.18	43.48	0	5	4	3	1	VER,NOM
resté	REste	rester	VER	1003.56	43.45	0	5	0	5	2	VER
piste	pist	piste	NOM	51.77	43.01	1	5	5	4	1	NOM,VER
feras	f°Ra	faire	VER	8813.48	42.91	0	5	0	0	2	VER
pluie	pl8i	pluie	NOM	46.1	42.91	1	5	4	3	1	NOM
cassé	kase	casser	VER	160.61	42.71	0	5	5	4	2	VER,ADJ
forte	fORt	fort	ADJ	95.28	42.42	0	5	5	4	1	ADJ,ADV
repos	R°po	repos	NOM	42.29	42.29	1	5	5	4	2	NOM
foutu	futy	foutre	VER	400.67	41.96	0	5	5	4	2	VER,ADJ
lycée	lise	lycée	NOM	42.56	41.96	1	5	5	4	2	NOM
parti	paRti	parti	NOM	46.59	41.75	1	5	5	5	2	ADJ,NOM,VER
noire	nwaR	noir	ADJ	144.81	41.57	0	5	0	4	1	ADJ,NOM
moyen	mwaj5	moyen	ADJ	50.69	41.56	1	5	5	5	2	ADJ,NOM
tombe	t§b	tombe	NOM	49.67	41.33	1	5	5	3	1	NOM,VER
casse	kas	casser	VER	160.61	41.32	0	5	5	3	1	NOM,VER
dormi	dORmi	dormir	VER	392.09	41.25	0	5	0	0	2	VER
chère	SER	cher	ADJ	205.75	40.8	0	5	0	3	1	ADJ,NOM
amuse	amyz	amuser	VER	141.41	39.85	0	5	0	0	2	VER
doigt	dwa	doigt	NOM	85.69	39.83	1	5	5	3	1	NOM
démon	dem§	démon	NOM	61.0	39.71	1	5	5	4	2	NOM
adieu	adj2	adieu	ONO	39.7	39.7	1	5	4	4	2	NOM,ONO
étage	etaZ	étage	NOM	46.45	39.47	1	5	5	4	2	NOM,VER
chaud	So	chaud	ADV	39.06	39.06	1	5	5	2	1	ADJ,ADV,NOM
queue	k2	queue	NOM	41.59	38.93	1	5	5	2	1	NOM
coûte	kut	coûter	VER	83.15	38.84	0	5	0	0	1	VER
front	fR§	front	NOM	41.03	38.81	1	5	5	3	1	NOM
droit	dRwa	droit	ADJ	77.74	38.33	1	5	5	4	1	ADJ,ADV,NOM
prise	pRiz	prendre	VER	1913.83	38.26	0	5	5	4	1	VER,ADJ,NOM
